
# Eixo de estrada principal
1,1000.000,1000.000,52.340,EX
2,1010.000,1001.200,52.180,EX
3,1020.000,1002.100,52.050,EX
4,1030.000,1002.800,51.920,EX
5,1040.000,1003.000,51.780,EX
6,1050.000,1003.100,51.650,EX
7,1060.000,1003.000,51.520,EX
8,1070.000,1002.800,51.390,EX
9,1080.000,1002.500,51.260,EX
10,1090.000,1002.000,51.130,EX
# Berma esquerda
11,1000.000,1005.500,52.100,BE
12,1010.000,1006.700,51.950,BE
13,1020.000,1007.600,51.820,BE
14,1030.000,1008.300,51.690,BE
15,1040.000,1008.500,51.550,BE
16,1050.000,1008.400,51.420,BE
17,1060.000,1008.200,51.290,BE
18,1070.000,1007.900,51.160,BE
19,1080.000,1007.500,51.030,BE
20,1090.000,1007.000,50.900,BE
# Berma direita
21,1000.000,994.500,52.100,BE
22,1010.000,995.700,51.950,BE
23,1020.000,996.600,51.820,BE
24,1030.000,997.300,51.690,BE
25,1040.000,997.500,51.550,BE
26,1050.000,997.400,51.420,BE
27,1060.000,997.200,51.290,BE
28,1070.000,996.900,51.160,BE
29,1080.000,996.500,51.030,BE
30,1090.000,996.000,50.900,BE
# Muro norte
31,998.000,1015.000,54.200,MN
32,1008.000,1016.500,54.050,MN
33,1018.000,1017.200,53.900,MN
34,1028.000,1017.800,53.750,MN
35,1038.000,1018.000,53.600,MN
36,1048.000,1017.900,53.450,MN
37,1058.000,1017.600,53.300,MN
38,1068.000,1017.200,53.150,MN
39,1078.000,1016.700,53.000,MN
40,1088.000,1016.000,52.850,MN
# Muro sul
41,998.000,985.000,54.100,MN
42,1008.000,984.500,53.950,MN
43,1018.000,984.200,53.800,MN
44,1028.000,984.000,53.650,MN
45,1038.000,984.100,53.500,MN
46,1048.000,984.300,53.350,MN
47,1058.000,984.600,53.200,MN
# Edifício 1
48,1005.000,1020.000,55.000,ED
49,1005.000,1032.000,55.000,ED
50,1019.000,1032.000,55.000,ED
51,1019.000,1020.000,55.000,ED
52,1005.000,1020.000,55.000,ED
# Edifício 2
53,1025.000,1020.000,55.500,ED
54,1025.000,1030.000,55.500,ED
55,1037.000,1030.000,55.500,ED
56,1037.000,1020.000,55.500,ED
57,1025.000,1020.000,55.500,ED
# Edifício 3 (sul)
58,1010.000,975.000,54.800,ED
59,1010.000,983.000,54.800,ED
60,1022.000,983.000,54.800,ED
61,1022.000,975.000,54.800,ED
62,1010.000,975.000,54.800,ED
# Linha de água
63,992.000,988.000,50.200,LC
64,998.000,987.500,49.950,LC
65,1005.000,987.000,49.700,LC
66,1012.000,986.800,49.450,LC
67,1019.000,986.500,49.200,LC
68,1026.000,986.200,48.950,LC
69,1033.000,986.000,48.700,LC
70,1040.000,986.100,48.450,LC
71,1047.000,986.400,48.200,LC
72,1054.000,986.800,47.950,LC
